Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 31.95,   5.83E-009, 
 32.00,   7.03E-009, 
 32.05,   7.66E-009, 
 32.10,   8.07E-009, 
 32.15,   8.43E-009, 
 32.20,   8.87E-009, 
 32.25,   8.53E-009, 
 32.30,   7.98E-009, 
 32.35,   7.31E-009, 
 32.40,   5.80E-009, 
 32.45,   4.06E-009, 
 32.50,   2.80E-009, 
 32.55,   2.02E-009, 
 32.60,   1.53E-009, 
 32.65,   1.06E-009, 
 32.70,   8.23E-010, 
 32.75,   6.32E-010, 
 32.80,   5.95E-010, 
 32.85,   5.37E-010, 
 32.90,   5.21E-010, 
 32.95,   5.80E-010, 
 33.00,   5.44E-010, 
 33.05,   5.50E-010, 
 33.10,   5.97E-010, 
 33.15,   5.57E-010, 
 33.20,   5.79E-010, 
 33.25,   5.60E-010, 
 33.30,   4.29E-010, 
 33.35,   4.17E-010, 
 33.40,   2.73E-010, 
 33.45,   2.98E-010, 
 33.50,   3.06E-010, 
 33.55,   1.68E-010, 
 33.60,   1.57E-010, 
 33.65,   1.44E-010, 
 33.70,   2.37E-010, 
 33.75,   3.47E-010, 
 33.80,   4.04E-010, 
 33.85,   5.24E-010, 
 33.90,   5.33E-010, 
 33.95,   6.60E-010, 
 34.00,   8.26E-010, 
 34.05,   8.93E-010, 
 34.10,   9.69E-010, 
 34.15,   1.06E-009, 
 34.20,   1.07E-009, 
 34.25,   1.06E-009, 
 34.30,   9.86E-010, 
 34.35,   1.03E-009, 
 34.40,   8.06E-010, 
 34.45,   6.33E-010, 
 34.50,   5.03E-010, 
 34.55,   4.19E-010, 
 34.60,   4.16E-010, 
 34.65,   2.84E-010, 
 34.70,   2.12E-010, 
 34.75,   2.14E-010, 
 34.80,   7.33E-011, 
 34.85,   9.65E-011, 
 34.90,   1.26E-010, 
 34.95,   8.84E-011, 
 35.00,   7.33E-011, 
 35.05,   7.85E-011, 
 35.10,   6.98E-011, 
 35.15,   1.98E-011, 
 35.20,  -1.74E-012, 
 35.25,   1.51E-011, 
 35.30,   5.41E-011, 
 35.35,   1.59E-010, 
 35.40,   1.77E-010, 
 35.45,   2.44E-010, 
 35.50,   2.84E-010, 
 35.55,   1.88E-010, 
 35.60,   2.70E-010, 
 35.65,   2.55E-010, 
 35.70,   2.76E-010, 
 35.75,   3.85E-010, 
 35.80,   3.54E-010, 
 35.85,   4.85E-010, 
 35.90,   5.74E-010, 
 35.95,   6.46E-010, 
 36.00,   8.58E-010, 
 36.05,   8.74E-010, 
 36.10,   1.08E-009, 
 36.15,   1.17E-009, 
 36.20,   1.21E-009, 
 36.25,   1.23E-009, 
 36.30,   1.08E-009, 
 36.35,   1.10E-009, 
